,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
10793,c_c013636,충남 서천군 마서면 덕암리 725,0.0,13,0,5.0,5.0,5.0,5.0,4.0,1.0,6.0,7.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,6.0,2.0,1;3;6;22;24;27;
10794,c_c013636,충남 보령시 청라면 장산리 산 27-1,0.0,2,0,4.0,3.0,3.0,3.3333,4.0,1.0,6.0,7.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,6.0,2.0,1;3;6;22;24;27;
10795,c_c013641,전남 담양군 담양읍 학동리 59-14,0.0,1,0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,5.0,6.0,5.0,4;9;2;6;
10796,c_c013641,전남 담양군 담양읍 객사리 1,0.0,7,1,4.0,4.0,4.0,4.0,4.0,1.0,3.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,5.0,6.0,5.0,4;9;2;6;
10797,c_c013641,전남 담양군 담양읍 향교리 산 44,0.0,2,1,4.0,4.0,4.0,4.0,4.0,1.0,3.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,5.0,6.0,5.0,4;9;2;6;
10798,c_c013641,광주 남구 양림동 108-10,0.0,1,1,3.0,3.0,2.0,2.6667,4.0,1.0,3.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,5.0,6.0,5.0,4;9;2;6;
10799,c_c013644,충북 제천시 봉양읍 구학리 652-1,0.0,2,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;23;28;
10800,c_c013644,충북 제천시 모산동 241,0.0,1,0,4.0,2.0,5.0,3.6667,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;23;28;
10801,c_c013648,광주 서구 쌍촌동 1268,0.0,2,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;1;2;7;
10802,c_c013648,광주 북구 생용동 산 127-2,0.0,6,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;1;2;7;
10803,c_c013648,광주 서구 치평동,0.0,4,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;1;2;7;
