,Unnamed: 0,TRAVEL_ID,VISIT_AREA_ID,GENDER,INCOME,TRAVEL_MISSION,REL_CD,LODGING_TYPE_CD,TRAVEL_MISSION_1,TRAVEL_MISSION_2,TRAVEL_MISSION_3,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,COMPANION_AGE_GRP,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,LOTNO_ADDR,VISIT_AREA_TYPE_CD,X_COORD,Y_COORD
15565,16980,c_c011561,2210310003,2,0.0,0,8.0,0.0,0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,5.0,4.0,4.0,4.3333,충남 예산군 덕산면 읍내리 194-2,11,126.6649539,3670365476
15566,16981,c_c011561,2210300006,2,0.0,0,8.0,0.0,0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,4.0,4.0,3.0,3.6667,충남 홍성군 홍북읍 신경리 589,11,126.6813913,3665702422
15567,16982,c_c011561,2210310002,2,0.0,0,8.0,0.0,0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,2.0,1.0,2.0,1.6667,충남 예산군 덕산면 사동리 362,6,126.656552,3669399421
15568,16983,c_c011561,2210300008,2,0.0,0,8.0,0.0,0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,5.0,5.0,5.0,5.0,충남 예산군 덕산면 시량리 119-1,2,126.6513958,3668655936
15569,16984,c_c011561,2210310001,2,0.0,0,8.0,0.0,0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,4.0,1.0,3.0,2.6667,충남 예산군 덕산면 신평리 265-8,11,126.6627883,3669625583
15570,16985,c_c011561,2210300003,2,0.0,0,8.0,0.0,0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,3.0,3.0,4.0,3.3333,충남 예산군 응봉면 후사리 35,1,126.802037,3663891441
15571,16986,c_c011561,2210300002,2,0.0,0,8.0,0.0,0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,3.0,1.0,1.0,1.6667,충남 예산군 응봉면 후사리 118-16,13,126.7981226,3663577188
15572,16987,c_c011561,2210300005,2,0.0,0,8.0,0.0,0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,5.0,5.0,5.0,5.0,충남 예산군 삽교읍 두리 616-1,11,126.7425857,3668995257
15573,16988,c_c011567,2210300005,0,4.0,2;22;25;6;9;,5.0,0.0,2,22.0,25.0,7.0,3.0,10.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,7.0,4.0,0,4.0,4.0,4.0,4.0,전남 곡성군 옥과면 주산리 598-1,11,127.1442931,3530250005
15574,16989,c_c011567,2210300002,0,4.0,2;22;25;6;9;,5.0,0.0,2,22.0,25.0,7.0,3.0,10.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,7.0,4.0,1,3.0,3.0,3.0,3.0,전남 곡성군 오곡면 오지리 770-5,7,127.3078677,3527955632
