,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
14021,c_c007963,전북 전주시 완산구 풍남동2가 43-12,0.0,13,0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,2.0,6.0,2.0,1.0,2.0,3.0,6.0,2.0,6.0,22;3;
14022,c_c007963,전북 전주시 완산구 풍남동3가 83-3,0.0,11,0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,5.0,2.0,6.0,2.0,1.0,2.0,3.0,6.0,2.0,6.0,22;3;
14023,c_c007963,전북 전주시 완산구 풍남동3가 73-2,0.0,11,0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,5.0,2.0,6.0,2.0,1.0,2.0,3.0,6.0,2.0,6.0,22;3;
14024,c_c007963,전북 전주시 완산구 풍남동3가 64-1,0.0,7,1,4.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,2.0,6.0,2.0,1.0,2.0,3.0,6.0,2.0,6.0,22;3;
14025,c_c007963,전북 전주시 완산구 풍남동3가 64-1,0.0,7,1,5.0,4.0,4.0,4.3333,4.0,3.0,1.0,5.0,2.0,6.0,2.0,1.0,2.0,3.0,6.0,2.0,6.0,22;3;
14026,c_c007969,충북 제천시 봉양읍 구학리 674,0.0,2,0,4.0,5.0,4.0,4.3333,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,6.0,5.0,7.0,6.0,2;22;26;
14027,c_c007969,충북 제천시 청풍면 도곡리 99,0.0,13,1,4.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,6.0,5.0,7.0,6.0,2;22;26;
14028,c_c007969,충북 제천시 모산동 581,0.0,1,0,5.0,4.0,4.0,4.3333,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,6.0,5.0,7.0,6.0,2;22;26;
14029,c_c007969,충북 제천시 청풍면 광의리 산 7-4,0.0,1,0,4.0,5.0,4.0,4.3333,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,6.0,5.0,7.0,6.0,2;22;26;
14030,c_c007969,충북 제천시 청풍면 물태리 98-2,0.0,6,0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,6.0,5.0,7.0,6.0,2;22;26;
14031,c_c007969,충북 제천시 모산동 241,0.0,7,0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,6.0,5.0,7.0,6.0,2;22;26;
14032,c_c007969,충북 제천시 청풍면 도곡리 99,0.0,13,1,4.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,6.0,5.0,7.0,6.0,2;22;26;
14033,c_c007969,충북 제천시 강제동 684,0.0,4,0,3.0,3.0,4.0,3.3333,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,6.0,5.0,7.0,6.0,2;22;26;
14034,c_c007969,충북 제천시 하소동 375,0.0,11,0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,4.0,6.0,5.0,7.0,6.0,2;22;26;
14036,c_c007973,경남 하동군 화개면 대성리 1310-4,0.0,13,0,2.0,2.0,2.0,2.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
14037,c_c007973,전북 남원시 산내면 덕동리 산 215,0.0,7,1,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
14039,c_c007975,충남 서산시 지곡면 중왕리 510-3,0.0,11,0,5.0,4.0,4.0,4.3333,4.0,2.0,8.0,1.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,5.0,6.0,1;2;26;27;28;
14040,c_c007975,충남 서산시 동문동 900,0.0,4,1,4.0,4.0,4.0,4.0,4.0,2.0,8.0,1.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,5.0,6.0,1;2;26;27;28;
14041,c_c007975,충남 서산시 지곡면 중왕리 508-1,0.0,13,1,4.0,4.0,4.0,4.0,4.0,2.0,8.0,1.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,5.0,6.0,1;2;26;27;28;
14042,c_c007976,대전 유성구 봉명동 2-1,0.0,8,0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,26;27;1;
14043,c_c007976,대전 서구 갈마동 711,0.0,11,0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,26;27;1;
14044,c_c007987,충남 천안시 동남구 성남면 용원리 671,0.0,11,0,5.0,4.0,4.0,4.3333,7.0,1.0,3.0,6.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,4.0,4.0,2;10;
14045,c_c007987,충남 천안시 동남구 성남면 용원리 672,0.0,6,1,4.0,4.0,4.0,4.0,7.0,1.0,3.0,6.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,4.0,4.0,2;10;
14046,c_c007990,충남 보령시 청라면 의평리 634,0.0,1,0,5.0,5.0,5.0,5.0,5.0,3.0,9.0,7.0,1.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,7.0,2;3;22;24;26;27;28;12;
14047,c_c007990,충남 보령시 신흑동 2267-3,0.0,1,1,5.0,5.0,5.0,5.0,5.0,3.0,9.0,7.0,1.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,7.0,2;3;22;24;26;27;28;12;
14048,c_c007990,충남 보령시 성주면 개화리 114-4,0.0,2,0,5.0,5.0,5.0,5.0,5.0,3.0,9.0,7.0,1.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,7.0,2;3;22;24;26;27;28;12;
14049,c_c007990,충남 보령시 오천면 소성리 691-52,0.0,11,0,5.0,5.0,5.0,5.0,5.0,3.0,9.0,7.0,1.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,7.0,2;3;22;24;26;27;28;12;
14050,c_c007990,충남 보령시 천북면 학성리 산 45,0.0,2,0,5.0,5.0,5.0,5.0,5.0,3.0,9.0,7.0,1.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,7.0,2;3;22;24;26;27;28;12;
14051,c_c007990,충남 보령시 성주면 개화리 183-1,0.0,1,1,5.0,5.0,5.0,5.0,5.0,3.0,9.0,7.0,1.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,7.0,2;3;22;24;26;27;28;12;
