,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
14102,c_c008057,충북 옥천군 옥천읍 삼양리 158-2,0.0,2,0,4.0,3.0,3.0,3.3333,2.0,2.0,1.0,10.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,3;4;
14103,c_c008057,충북 옥천군 옥천읍 상계리 57-2,0.0,2,0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,10.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,3;4;
14104,c_c008057,충북 옥천군 옥천읍 하계리 39,0.0,2,0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,10.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,3;4;
14105,c_c008059,전남 담양군 담양읍 담주리 82-1,0.0,4,0,5.0,4.0,5.0,4.6667,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;23;26;12;11;10;9;5;4;1;
14106,c_c008059,전남 담양군 담양읍 객사리 226-1,0.0,11,0,5.0,4.0,5.0,4.6667,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;23;26;12;11;10;9;5;4;1;
14107,c_c008059,전남 담양군 담양읍 객사리 251-6,0.0,11,0,4.0,4.0,4.0,4.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;23;26;12;11;10;9;5;4;1;
14108,c_c008076,광주 광산구 송정동 826-3,0.0,11,0,5.0,5.0,5.0,5.0,6.0,8.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,5.0,1.0,5.0,0
14109,c_c008076,광주 남구 구동 22-3,0.0,2,0,4.0,3.0,3.0,3.3333,6.0,8.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,5.0,1.0,5.0,0
14110,c_c008076,광주 동구 광산동 13,0.0,3,0,4.0,3.0,2.0,3.0,6.0,8.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,5.0,1.0,5.0,0
14111,c_c008076,광주 동구 황금동 41-3,0.0,11,0,5.0,4.0,3.0,4.0,6.0,8.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,5.0,1.0,5.0,0
14112,c_c008076,광주 남구 양림동 108-10,0.0,1,0,2.0,3.0,1.0,2.0,6.0,8.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,5.0,1.0,5.0,0
14113,c_c008076,광주 동구 금남로3가 3-5,0.0,2,0,5.0,5.0,5.0,5.0,6.0,8.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,5.0,1.0,5.0,0
14114,c_c008076,광주 남구 양림동 44-1,0.0,4,0,4.0,4.0,3.0,3.6667,6.0,8.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,5.0,1.0,5.0,0
14115,c_c008080,충북 제천시 백운면 평동리 707,0.0,7,0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,7.0,10;2;21;
14116,c_c008080,충북 제천시 백운면 평동리 707,0.0,7,0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,7.0,10;2;21;
14117,c_c008080,충북 제천시 봉양읍 구학리 355-1,0.0,11,0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,7.0,10;2;21;
